Woche,bananenbrot: (Deutschland)
2019-01-06,12
2019-01-13,15
2019-01-20,18
2019-01-27,13
2019-02-03,19
2019-02-10,16
2019-02-17,18
2019-02-24,17
2019-03-03,14
2019-03-10,15
2019-03-17,19
2019-03-24,22
2019-03-31,16
2019-04-07,13
2019-04-14,16
2019-04-21,19
2019-04-28,14
2019-05-05,18
2019-05-12,15
2019-05-19,14
2019-05-26,15
2019-06-02,14
2019-06-09,14
2019-06-16,14
2019-06-23,13
2019-06-30,11
2019-07-07,13
2019-07-14,13
2019-07-21,8
2019-07-28,13
2019-08-04,13
2019-08-11,13
2019-08-18,21
2019-08-25,15
2019-09-01,15
2019-09-08,15
2019-09-15,16
2019-09-22,18
2019-09-29,20
2019-10-06,11
2019-10-13,20
2019-10-20,16
2019-10-27,15
2019-11-03,14
2019-11-10,20
2019-11-17,15
2019-11-24,11
2019-12-01,13
2019-12-08,15
2019-12-15,10
2019-12-22,12
2019-12-29,18
2020-01-05,19
2020-01-12,21
2020-01-19,22
2020-01-26,25
2020-02-02,23
2020-02-09,21
2020-02-16,21
2020-02-23,25
2020-03-01,25
2020-03-08,29
2020-03-15,51
2020-03-22,89
2020-03-29,100
2020-04-05,68
2020-04-12,65
2020-04-19,51
2020-04-26,50
2020-05-03,39
2020-05-10,38
2020-05-17,30
2020-05-24,34
2020-05-31,28
2020-06-07,29
2020-06-14,29
2020-06-21,22
2020-06-28,26
2020-07-05,26
2020-07-12,24
2020-07-19,22
2020-07-26,23
2020-08-02,23
2020-08-09,17
2020-08-16,22
2020-08-23,25
2020-08-30,23
2020-09-06,22
2020-09-13,20
2020-09-20,26
2020-09-27,24
2020-10-04,24
2020-10-11,24
2020-10-18,25
2020-10-25,35
2020-11-01,32
2020-11-08,29
2020-11-15,29
2020-11-22,28
2020-11-29,23
2020-12-06,20
2020-12-13,23
2020-12-20,24
2020-12-27,27
