Woche,corona: (Deutschland)
2019-01-06,<1
2019-01-13,<1
2019-01-20,<1
2019-01-27,<1
2019-02-03,<1
2019-02-10,<1
2019-02-17,<1
2019-02-24,<1
2019-03-03,<1
2019-03-10,<1
2019-03-17,<1
2019-03-24,<1
2019-03-31,<1
2019-04-07,<1
2019-04-14,<1
2019-04-21,<1
2019-04-28,<1
2019-05-05,<1
2019-05-12,<1
2019-05-19,<1
2019-05-26,<1
2019-06-02,<1
2019-06-09,<1
2019-06-16,<1
2019-06-23,<1
2019-06-30,<1
2019-07-07,<1
2019-07-14,<1
2019-07-21,<1
2019-07-28,<1
2019-08-04,<1
2019-08-11,<1
2019-08-18,<1
2019-08-25,<1
2019-09-01,<1
2019-09-08,<1
2019-09-15,<1
2019-09-22,<1
2019-09-29,<1
2019-10-06,<1
2019-10-13,<1
2019-10-20,<1
2019-10-27,<1
2019-11-03,<1
2019-11-10,<1
2019-11-17,<1
2019-11-24,<1
2019-12-01,<1
2019-12-08,<1
2019-12-15,<1
2019-12-22,<1
2019-12-29,<1
2020-01-05,<1
2020-01-12,<1
2020-01-19,<1
2020-01-26,3
2020-02-02,2
2020-02-09,2
2020-02-16,1
2020-02-23,18
2020-03-01,27
2020-03-08,67
2020-03-15,100
2020-03-22,75
2020-03-29,55
2020-04-05,46
2020-04-12,46
2020-04-19,36
2020-04-26,34
2020-05-03,38
2020-05-10,30
2020-05-17,25
2020-05-24,25
2020-05-31,22
2020-06-07,20
2020-06-14,25
2020-06-21,22
2020-06-28,19
2020-07-05,19
2020-07-12,18
2020-07-19,18
2020-07-26,23
2020-08-02,22
2020-08-09,22
2020-08-16,23
2020-08-23,24
2020-08-30,19
2020-09-06,17
2020-09-13,19
2020-09-20,22
2020-09-27,22
2020-10-04,30
2020-10-11,46
2020-10-18,56
2020-10-25,60
2020-11-01,36
2020-11-08,31
2020-11-15,32
2020-11-22,31
2020-11-29,28
2020-12-06,43
2020-12-13,45
2020-12-20,38
2020-12-27,33
