Woche,drosten: (Deutschland)
2019-01-06,0
2019-01-13,0
2019-01-20,0
2019-01-27,<1
2019-02-03,<1
2019-02-10,<1
2019-02-17,<1
2019-02-24,<1
2019-03-03,<1
2019-03-10,0
2019-03-17,0
2019-03-24,0
2019-03-31,<1
2019-04-07,<1
2019-04-14,<1
2019-04-21,<1
2019-04-28,0
2019-05-05,<1
2019-05-12,<1
2019-05-19,<1
2019-05-26,0
2019-06-02,<1
2019-06-09,<1
2019-06-16,0
2019-06-23,0
2019-06-30,<1
2019-07-07,0
2019-07-14,<1
2019-07-21,<1
2019-07-28,0
2019-08-04,0
2019-08-11,0
2019-08-18,<1
2019-08-25,0
2019-09-01,<1
2019-09-08,<1
2019-09-15,<1
2019-09-22,<1
2019-09-29,<1
2019-10-06,<1
2019-10-13,<1
2019-10-20,0
2019-10-27,<1
2019-11-03,<1
2019-11-10,<1
2019-11-17,<1
2019-11-24,0
2019-12-01,<1
2019-12-08,0
2019-12-15,<1
2019-12-22,<1
2019-12-29,<1
2020-01-05,0
2020-01-12,<1
2020-01-19,<1
2020-01-26,1
2020-02-02,1
2020-02-09,<1
2020-02-16,<1
2020-02-23,5
2020-03-01,12
2020-03-08,53
2020-03-15,100
2020-03-22,83
2020-03-29,82
2020-04-05,56
2020-04-12,46
2020-04-19,63
2020-04-26,61
2020-05-03,45
2020-05-10,39
2020-05-17,30
2020-05-24,68
2020-05-31,35
2020-06-07,26
2020-06-14,21
2020-06-21,24
2020-06-28,14
2020-07-05,8
2020-07-12,9
2020-07-19,8
2020-07-26,9
2020-08-02,14
2020-08-09,10
2020-08-16,11
2020-08-23,10
2020-08-30,20
2020-09-06,13
2020-09-13,18
2020-09-20,26
2020-09-27,18
2020-10-04,20
2020-10-11,20
2020-10-18,20
2020-10-25,24
2020-11-01,17
2020-11-08,17
2020-11-15,16
2020-11-22,18
2020-11-29,14
2020-12-06,20
2020-12-13,18
2020-12-20,29
2020-12-27,16
