Kategorie,Bayern,Baden,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg,Niedersachsen,Nordrhein,Rheinland,Saarland,Sachsen,SachsenA,Schleswig,Thüringen
2019-01-06,17,14,7,6,0,11,11,10,14,13,9,27,3,11,0,9
2019-01-13,12,11,7,4,0,22,17,10,17,9,27,0,5,11,0,22
2019-01-20,15,16,5,11,30,22,21,10,12,9,27,0,8,31,12,9
2019-01-27,23,15,6,12,0,11,10,11,7,7,13,27,6,21,24,9
2019-02-03,16,9,9,2,31,16,10,16,10,14,0,27,5,22,12,13
2019-02-10,15,9,6,12,0,22,7,11,8,8,0,0,8,11,8,9
2019-02-17,14,25,9,7,31,17,17,0,15,9,19,56,9,22,8,27
2019-02-24,12,7,4,6,32,11,14,11,10,13,15,0,10,11,8,18
2019-03-03,15,8,8,12,46,23,26,10,12,13,18,27,4,27,0,18
2019-03-10,15,20,9,9,30,12,7,0,9,14,45,27,6,11,20,17
2019-03-17,20,6,6,10,0,17,14,11,4,13,9,0,7,11,12,14
2019-03-24,16,9,7,7,47,40,3,21,10,17,37,0,10,22,8,0
2019-03-31,10,20,7,8,0,12,19,11,13,15,28,41,5,23,22,38
2019-04-07,31,29,13,5,33,23,26,11,23,23,14,27,15,28,31,27
2019-04-14,27,21,11,11,0,25,17,34,22,23,10,29,9,30,9,20
2019-04-21,10,9,7,8,0,31,18,0,15,12,0,28,7,36,17,10
2019-04-28,12,13,6,5,0,0,13,0,15,11,9,27,9,11,12,0
2019-05-05,23,15,10,14,31,11,34,10,21,25,36,26,9,0,16,27
2019-05-12,16,19,13,10,0,18,19,21,20,14,9,0,13,28,25,9
2019-05-19,16,18,7,7,0,0,10,10,8,18,9,27,7,27,8,9
2019-05-26,18,14,10,8,31,12,7,0,13,11,18,28,4,17,8,9
2019-06-02,14,11,6,9,0,12,19,16,7,16,23,0,7,44,8,14
2019-06-09,7,10,7,5,0,31,11,41,6,8,9,0,13,33,8,0
2019-06-16,19,11,10,5,31,13,14,10,11,14,24,0,6,0,0,14
2019-06-23,11,11,10,8,0,13,11,0,11,8,19,0,8,11,12,9
2019-06-30,11,9,8,6,0,13,18,20,17,9,14,57,11,11,8,18
2019-07-07,13,7,9,7,0,0,18,40,10,8,24,0,3,11,8,19
2019-07-14,15,8,7,6,34,27,11,10,9,14,20,56,9,12,20,10
2019-07-21,7,9,5,6,36,15,11,20,8,9,15,60,7,12,17,21
2019-07-28,12,17,13,13,68,27,11,14,13,20,20,0,11,23,16,10
2019-08-04,17,5,9,11,0,13,16,15,5,9,29,28,6,17,8,10
2019-08-11,14,11,9,11,0,24,8,14,8,9,18,0,10,11,15,9
2019-08-18,10,13,8,11,0,13,12,15,10,12,9,0,9,17,8,18
2019-08-25,7,9,8,12,0,13,12,20,10,12,9,27,7,11,0,27
2019-09-01,21,15,7,8,57,18,22,10,13,12,14,0,7,11,11,9
2019-09-08,25,20,9,10,30,19,20,10,17,14,18,27,7,16,12,14
2019-09-15,17,19,10,9,0,13,21,35,9,14,19,0,5,22,19,9
2019-09-22,29,13,13,6,30,28,24,15,22,22,45,80,10,43,11,13
2019-09-29,9,21,10,14,31,11,25,20,14,15,23,0,9,21,7,13
2019-10-06,16,8,8,7,31,12,16,10,12,13,18,27,10,16,0,18
2019-10-13,16,15,9,8,0,17,20,23,6,9,9,0,2,31,8,13
2019-10-20,20,16,8,9,0,10,13,19,18,19,22,25,6,41,11,25
2019-10-27,11,12,9,12,30,12,16,9,7,11,17,0,9,0,11,8
2019-11-03,14,21,6,6,28,11,11,9,6,9,0,25,5,15,15,0
2019-11-10,17,22,9,10,28,29,11,19,16,18,9,37,6,30,19,16
2019-11-17,23,14,8,7,56,26,11,23,15,14,30,25,7,15,11,16
2019-11-24,35,24,20,21,0,28,45,19,27,21,17,0,14,20,18,20
2019-12-01,21,9,10,14,0,35,23,20,16,12,48,25,9,20,15,21
2019-12-08,9,16,9,5,0,0,16,10,10,9,13,0,6,20,15,8
2019-12-15,14,14,9,4,30,0,18,10,8,12,13,0,6,10,8,9
2019-12-22,13,8,6,4,0,17,6,26,13,14,19,0,4,21,24,9
2019-12-29,13,12,7,9,0,14,15,18,11,12,22,0,6,10,11,26
2020-01-05,21,16,8,9,27,16,16,18,9,10,12,24,4,9,25,15
2020-01-12,12,7,9,9,27,16,14,13,16,14,8,0,2,14,14,8
2020-01-19,16,7,9,10,42,10,11,13,12,12,8,24,6,19,11,8
2020-01-26,23,15,21,22,41,10,20,22,22,18,8,23,5,37,11,15
2020-02-02,15,16,7,14,0,27,14,13,12,9,32,23,6,9,7,11
2020-02-09,13,9,9,9,55,10,14,14,15,10,35,0,6,24,21,8
2020-02-16,10,18,9,7,28,10,11,28,12,11,9,25,2,19,29,8
2020-02-23,15,11,7,7,0,9,11,9,14,8,8,0,6,18,14,15
2020-03-01,12,12,9,8,28,10,11,9,11,9,12,23,9,0,11,8
2020-03-08,12,9,7,9,0,9,17,8,11,11,7,43,4,26,7,14
2020-03-15,14,12,8,8,0,28,10,8,13,13,18,0,7,34,9,7
2020-03-22,14,12,7,5,51,9,9,8,9,7,14,20,9,16,12,10
2020-03-29,13,7,5,7,25,8,4,16,7,8,14,0,7,12,12,13
2020-04-05,12,17,6,7,86,14,13,27,10,14,23,33,16,14,17,15
2020-04-12,7,14,8,3,27,9,3,9,13,11,18,21,4,9,10,7
2020-04-19,25,31,10,13,27,26,29,21,33,28,25,53,12,17,25,14
2020-04-26,26,27,13,14,26,43,28,8,30,25,31,61,14,33,24,20
2020-05-03,15,13,8,7,0,13,12,13,16,13,21,42,7,21,13,11
2020-05-10,22,13,8,7,48,13,13,8,6,13,28,21,7,9,19,7
2020-05-17,21,18,13,12,0,14,20,22,13,14,15,44,8,47,16,8
2020-05-24,8,11,7,6,27,10,7,0,10,12,14,22,5,18,19,7
2020-05-31,11,16,7,8,27,10,18,15,9,13,7,21,5,17,6,7
2020-06-07,12,11,10,7,0,22,10,7,7,7,11,0,6,17,18,14
2020-06-14,7,8,9,12,0,9,9,0,7,9,11,21,2,9,13,11
2020-06-21,12,11,6,7,56,25,7,0,8,7,15,23,3,23,7,8
2020-06-28,11,8,7,11,0,0,10,0,17,17,7,22,5,13,6,8
2020-07-05,16,9,10,11,27,26,8,20,11,13,8,23,5,9,13,8
2020-07-12,13,11,9,8,0,22,24,0,8,10,8,0,11,10,14,25
2020-07-19,10,13,9,11,0,0,11,33,7,11,13,25,9,26,20,17
2020-07-26,13,12,9,11,0,17,13,16,9,10,16,25,3,31,19,13
2020-08-02,11,10,9,13,28,22,10,8,13,10,16,0,3,16,6,9
2020-08-09,15,8,13,8,27,21,12,8,13,10,12,0,5,0,15,8
2020-08-16,21,23,12,9,26,10,11,12,17,11,28,0,10,10,15,8
2020-08-23,11,17,14,16,45,10,22,12,11,17,12,24,7,20,10,25
2020-08-30,16,12,11,12,54,15,15,8,11,13,12,36,7,25,20,8
2020-09-06,24,14,9,16,29,10,17,20,19,21,12,0,11,10,17,17
2020-09-13,17,19,12,15,30,11,23,8,9,14,12,0,5,15,22,12
2020-09-20,19,12,15,20,29,10,20,12,17,14,32,0,8,39,14,8
2020-09-27,24,26,22,13,0,20,15,21,11,24,24,24,11,20,21,24
2020-10-04,46,42,18,22,28,38,47,26,47,37,52,0,26,64,15,28
2020-10-11,17,26,21,22,30,44,24,21,20,18,21,100,12,20,15,8
2020-10-18,28,36,35,35,61,31,30,33,32,35,59,37,19,36,25,38
2020-10-25,100,100,100,100,100,89,100,100,100,100,100,72,100,100,100,100
2020-11-01,45,62,63,78,79,100,59,75,54,65,58,33,32,90,58,37
2020-11-08,29,33,56,54,29,29,45,40,34,24,36,0,16,34,35,23
2020-11-15,19,8,32,33,28,48,15,35,19,18,12,24,8,14,7,27
2020-11-22,11,12,29,18,0,29,16,9,13,15,16,0,12,23,7,23
2020-11-29,11,11,31,22,0,14,15,18,17,15,19,0,11,9,18,0
,13,7,28,22,0,10,17,22,9,12,27,23,7,37,14,19
,9,14,37,35,28,20,14,27,22,12,16,46,9,18,7,8
,17,19,37,30,0,38,22,25,6,12,26,0,12,10,12,13
,9,7,25,27,31,12,12,0,15,7,16,24,12,39,7,8
